,country,code,name,latitude,longitude
30985,AL,TIA,Tirana International Airport Mother Teresa,41.4146995544,19.7206001282
17971,DE,AOC,Altenburg-Nobitz Airport,50.981945,12.506389
18178,DE,AGB,Augsburg Airport,48.425278000000006,10.931667
18274,DE,BYU,Bayreuth Airport,49.985001000000004,11.64
18043,DE,SXF,Berlin-Schönefeld Airport,52.380001,13.5225
18057,DE,TXL,Berlin-Tegel Airport,52.5597,13.2877
18362,DE,BWE,Braunschweig-Wolfsburg Airport,52.319199,10.5561
18059,DE,BRE,Bremen Airport,53.0475006104,8.78666973114
19784,DE,ZCN,Celle Airport,52.59120178222656,10.022100448608398
18050,DE,CGN,Cologne Bonn Airport,50.865898132299996,7.1427397728
18021,DE,CBU,Cottbus-Drewitz Airport,51.889441999999995,14.531944000000001
18332,DE,ZQL,Donaueschingen-Villingen Airport,47.97333145139999,8.52222156525
18174,DE,DTM,Dortmund Airport,51.518299102799986,7.61223983765
18044,DE,DRS,Dresden Airport,51.1328010559082,13.767200469970705
18051,DE,DUS,Düsseldorf Airport,51.289501,6.766780000000001
18098,DE,EIB,Eisenach-Kindel Airport,50.991603999999995,10.47973
18045,DE,ERF,Erfurt Airport,50.97980117797852,10.958100318908693
18046,DE,FRA,Frankfurt am Main Airport,50.033333,8.570556
18077,DE,HHN,Frankfurt-Hahn Airport,49.9487,7.263889999999999
18224,DE,FDH,Friedrichshafen Airport,47.671298980699994,9.511489868160002
19786,DE,FRZ,Fritzlar Airport,51.1146,9.286
19806,DE,GKE,Geilenkirchen Air Base,50.9608,6.04242
18048,DE,HAM,Hamburg Airport,53.630401611328004,9.988229751586902
18124,DE,XFW,Hamburg-Finkenwerder Airport,53.5352783203125,9.835556030273438
18058,DE,HAJ,Hannover Airport,52.461101532,9.68507957458
17975,DE,HDF,Heringsdorf Airport,53.8787002563,14.152299881
18282,DE,HOQ,Hof-Plauen Airport,50.288612365722656,11.856389045715332
19824,DE,IGS,Ingolstadt Manching Airport,48.7156982421875,11.534000396728516
18315,DE,FKB,Karlsruhe Baden-Baden Airport,48.7793998718,8.08049964905
18368,DE,KSF,Kassel-Calden Airport,51.417273,9.384967
18125,DE,KEL,Kiel-Holtenau Airport,54.37944412231445,10.145277976989746
18337,DE,LHA,Lahr Airport,48.36930084229999,7.82772016525
18054,DE,LEJ,Leipzig/Halle Airport,51.423889,12.236388999999999
18126,DE,LBC,Lübeck Blankensee Airport,53.805400848400005,10.7192001343
18005,DE,ZMG,"Magdeburg ""City"" Airport",52.073612,11.626389
18082,DE,MHG,Mannheim-City Airport,49.473057,8.514167
18135,DE,FMM,Memmingen Allgau Airport,47.9888000488,10.2395000458
18052,DE,MUC,Munich Airport,48.353802,11.7861
18165,DE,MGL,Mönchengladbach Airport,51.230278000000006,6.504444
18047,DE,FMO,Münster Osnabrück Airport,52.134601593,7.68483018875
18006,DE,FNB,Neubrandenburg Airport,53.6022,13.306
19803,DE,FCN,Nordholz Naval Airbase,53.767700195299994,8.658499717709999
18053,DE,NUE,Nuremberg Airport,49.498699,11.078056
18191,DE,OBF,Oberpfaffenhofen Airport,48.081402000000004,11.2831
18167,DE,PAD,Paderborn Lippstadt Airport,51.614101409899995,8.616319656369999
19777,DE,RMS,Ramstein Air Base,49.4369010925293,7.600279808044434
19809,DE,RLG,Rostock-Laage Airport,53.9182014465,12.2783002853
18055,DE,SCN,Saarbrücken Airport,49.2145996094,7.10950994492
19812,DE,WBG,Schleswig Air Base,54.459301,9.51633
18240,DE,SZW,Schwerin Parchim Airport,53.426998,11.7834
18111,DE,SGE,Siegerland Airport,50.70769882202149,8.082969665527344
19776,DE,SPM,Spangdahlem Air Base,49.9726982117,6.6925001144400005
18056,DE,STR,Stuttgart Airport,48.6898994446,9.22196006775
18173,DE,NRN,Weeze Airport,51.6024017334,6.14216995239
